REPOSITORY                           TAG                       IMAGE ID       CREATED              SIZE
location-service                     1.0                       0326f153d4fb   About a minute ago   370MB
test-postgres-db                     latest                    cf594fdf8472   31 minutes ago       377MB
postgres                             latest                    901a82b310d3   10 hours ago         377MB
samson-message-processor             1.35.19.10471             16404c528acb   11 days ago          390MB
pis-to-pis-translator                1.35.19.10471             499273c2d8e2   11 days ago          346MB
lifecycle-message-splitter           1.35.19.10471             8310364d730a   11 days ago          370MB
telegram-processing-repository       1.35.19.10471             4dbb23bd8c51   11 days ago          389MB
signature-verification-web-service   1.35.19.10471             d141cf1b9382   11 days ago          387MB
extern-adapter                       1.35.19.10471             622d0018322d   11 days ago          366MB
mdlp-adapter                         1.35.19.10471             82b0ffe8bfb4   11 days ago          365MB
adapter-telegraph                    1.35.19.10471             e3ac4762709f   11 days ago          355MB
adapter-pis-epvv                     1.35.19.10471             0c682a43d1d8   11 days ago          408MB
adapter-sds-epvv                     1.35.19.10471             5a2a39034cc8   11 days ago          353MB
universal-routes-constructor         1.35.19.10471             8a0dcf1249a1   11 days ago          368MB
mq-balancer                          1.35.19.10471             2f05237770a8   11 days ago          349MB
smtp-sender                          1.35.19.10471             856de70e189c   11 days ago          367MB
message-processing-repository        1.35.19.10471             056c7a96301f   11 days ago          415MB
aspera-user-manager                  1.35.19.10471             2af980470a07   11 days ago          398MB
aspera-transfer-service              1.35.19.10471             9f5310515aef   11 days ago          351MB
diadoc-adapter                       1.35.19.10471             5f1f720b1385   11 days ago          371MB
lifecycle-maintenance-service        1.35.19.10471             e441a359bc64   11 days ago          445MB
lifecycle-events-viewer              1.35.19.10471             a2759d7aa66c   11 days ago          432MB
amber-certificate-actuator           1.35.19.10471             074c8e29c52e   11 days ago          378MB
bifrost-router                       1.35.19.10471             fe601cebd2ac   11 days ago          512MB
crl-router                           1.35.19.10471             e4e757a3d471   11 days ago          404MB
crypto-service                       1.35.19.10471             caf3b8947519   11 days ago          367MB
crl-collector                        1.35.19.10471             fa055aca2289   11 days ago          330MB
imported-certificate-validator       1.35.19.10471             8330eb5ee366   11 days ago          401MB
<none>                               <none>                    1ce1f851adfb   11 days ago          346MB
<none>                               <none>                    8f69a230bd68   11 days ago          370MB
<none>                               <none>                    1fd89526eb14   11 days ago          389MB
<none>                               <none>                    887508cfd9d5   11 days ago          387MB
<none>                               <none>                    69c1adc96647   11 days ago          366MB
<none>                               <none>                    3aece5e9d644   11 days ago          365MB
<none>                               <none>                    9f66cee80b7e   11 days ago          355MB
<none>                               <none>                    3956609a1ede   11 days ago          408MB
<none>                               <none>                    3943fcbb37a7   11 days ago          353MB
<none>                               <none>                    f2822d46489f   11 days ago          368MB
<none>                               <none>                    533b59dcd48f   11 days ago          349MB
<none>                               <none>                    57b57255beea   11 days ago          367MB
<none>                               <none>                    f188467e7888   11 days ago          415MB
<none>                               <none>                    fc99b7441629   11 days ago          398MB
<none>                               <none>                    7dc0f2281be2   11 days ago          351MB
<none>                               <none>                    0b9f4a088fe1   11 days ago          371MB
<none>                               <none>                    0780d95833fe   11 days ago          445MB
<none>                               <none>                    9e79b1691bcc   11 days ago          432MB
<none>                               <none>                    25f95523a27b   11 days ago          378MB
<none>                               <none>                    351dada1ad1d   11 days ago          512MB
<none>                               <none>                    a23384d77448   11 days ago          404MB
<none>                               <none>                    9fd8ad9cdf37   11 days ago          367MB
<none>                               <none>                    0b1e9282a2d6   11 days ago          330MB
<none>                               <none>                    ba0064170b0a   11 days ago          401MB
<none>                               <none>                    dbeb327d1873   11 days ago          346MB
<none>                               <none>                    707274d16d11   11 days ago          370MB
<none>                               <none>                    96650b1f42de   11 days ago          389MB
<none>                               <none>                    152bcb40b4aa   11 days ago          387MB
<none>                               <none>                    146eae62976a   11 days ago          366MB
<none>                               <none>                    6dd455337ffc   11 days ago          365MB
<none>                               <none>                    affc09340212   11 days ago          355MB
<none>                               <none>                    4a26abfbd793   11 days ago          408MB
<none>                               <none>                    ef2fb21d0156   11 days ago          353MB
<none>                               <none>                    98e01204c7b3   11 days ago          368MB
<none>                               <none>                    84b134a341d9   11 days ago          349MB
<none>                               <none>                    3712c7ea3e00   11 days ago          367MB
<none>                               <none>                    332493774ca3   11 days ago          415MB
<none>                               <none>                    ccec65c29185   11 days ago          398MB
<none>                               <none>                    b114d03ed0c5   11 days ago          351MB
<none>                               <none>                    0af583e7accf   11 days ago          371MB
<none>                               <none>                    de368f873280   11 days ago          445MB
<none>                               <none>                    65fb9f82671c   11 days ago          432MB
<none>                               <none>                    815ac4f1e11a   11 days ago          378MB
<none>                               <none>                    67e58fcfc492   11 days ago          512MB
<none>                               <none>                    ec6f83ae9196   11 days ago          404MB
<none>                               <none>                    5725333017a0   11 days ago          367MB
<none>                               <none>                    1c12b6d2961e   11 days ago          330MB
<none>                               <none>                    6ee73863b773   11 days ago          401MB
<none>                               <none>                    4dbb96605d97   3 weeks ago          378MB
<none>                               <none>                    b72a939430a4   3 weeks ago          512MB
<none>                               <none>                    39cdbb1fc955   3 weeks ago          404MB
<none>                               <none>                    a50202e217fa   3 weeks ago          367MB
<none>                               <none>                    c4cb5e62dbf1   3 weeks ago          330MB
<none>                               <none>                    b0873ba148e4   3 weeks ago          401MB
<none>                               <none>                    fe04b9a15662   3 weeks ago          346MB
<none>                               <none>                    a6643f844253   3 weeks ago          370MB
<none>                               <none>                    2d815f08b45a   3 weeks ago          389MB
<none>                               <none>                    3f5ef7f2d651   3 weeks ago          387MB
<none>                               <none>                    a173ed2eacce   3 weeks ago          366MB
<none>                               <none>                    8c6a77615e73   3 weeks ago          365MB
<none>                               <none>                    91f97c86abfc   3 weeks ago          355MB
<none>                               <none>                    4f84a9c888ae   3 weeks ago          408MB
<none>                               <none>                    424019811a4a   3 weeks ago          353MB
<none>                               <none>                    6df446b3d3b8   3 weeks ago          368MB
<none>                               <none>                    64b545960b61   3 weeks ago          349MB
<none>                               <none>                    192a450de7e7   3 weeks ago          367MB
<none>                               <none>                    331ce87f369b   3 weeks ago          415MB
<none>                               <none>                    f48b27280660   3 weeks ago          398MB
<none>                               <none>                    2e108c1f759d   3 weeks ago          351MB
<none>                               <none>                    ec973e5949b2   3 weeks ago          371MB
<none>                               <none>                    a647bf144032   3 weeks ago          445MB
<none>                               <none>                    942ef1950f55   3 weeks ago          432MB
<none>                               <none>                    03fea07b3770   3 weeks ago          378MB
<none>                               <none>                    5cb9a489b33b   3 weeks ago          512MB
<none>                               <none>                    bbc31af52fa3   3 weeks ago          404MB
<none>                               <none>                    00960811d6fa   3 weeks ago          367MB
<none>                               <none>                    441c96c0bfd8   3 weeks ago          330MB
<none>                               <none>                    f0eccfcc4e7c   3 weeks ago          401MB
<none>                               <none>                    7fdacb418b3f   3 weeks ago          346MB
<none>                               <none>                    f66bf0fcf6dd   3 weeks ago          370MB
<none>                               <none>                    7655990ffb47   3 weeks ago          389MB
<none>                               <none>                    2a6fc58cff07   3 weeks ago          387MB
<none>                               <none>                    f5bf82afab46   3 weeks ago          366MB
<none>                               <none>                    b119f406b908   3 weeks ago          365MB
<none>                               <none>                    a99fe1ed16e3   3 weeks ago          355MB
<none>                               <none>                    811fbeb0990b   3 weeks ago          408MB
<none>                               <none>                    1f65f15996a4   3 weeks ago          353MB
<none>                               <none>                    108300759b94   3 weeks ago          368MB
<none>                               <none>                    fddf116ef0e0   3 weeks ago          349MB
<none>                               <none>                    8c77c7f4a902   3 weeks ago          367MB
<none>                               <none>                    dfc4cb4dac8d   3 weeks ago          415MB
<none>                               <none>                    a476be7c4daf   3 weeks ago          398MB
<none>                               <none>                    1a14e11f365e   3 weeks ago          351MB
<none>                               <none>                    8286942d3b8d   3 weeks ago          371MB
<none>                               <none>                    e0b34c911bac   3 weeks ago          445MB
<none>                               <none>                    85dd7e50b59b   3 weeks ago          432MB
<none>                               <none>                    20c669c4c388   3 weeks ago          378MB
<none>                               <none>                    0fba8f05b6f6   3 weeks ago          512MB
<none>                               <none>                    33d3b9ecedf9   3 weeks ago          404MB
<none>                               <none>                    21c9d6c196a8   3 weeks ago          367MB
<none>                               <none>                    ae37f60321c7   3 weeks ago          330MB
<none>                               <none>                    d99f3a956d51   3 weeks ago          401MB
<none>                               <none>                    ff17439347af   3 weeks ago          346MB
<none>                               <none>                    49321b02e04a   3 weeks ago          370MB
<none>                               <none>                    cf5ae8b4f460   3 weeks ago          389MB
<none>                               <none>                    f031b1d73aa8   3 weeks ago          387MB
<none>                               <none>                    94e4e4409c42   3 weeks ago          366MB
<none>                               <none>                    ccb91f925e72   3 weeks ago          365MB
<none>                               <none>                    21c914024bfb   3 weeks ago          355MB
<none>                               <none>                    457cba59da84   3 weeks ago          408MB
<none>                               <none>                    7d6e6da1098c   3 weeks ago          353MB
<none>                               <none>                    0152c67b1d8c   3 weeks ago          368MB
<none>                               <none>                    e626d1db7000   3 weeks ago          349MB
<none>                               <none>                    475f1dbd0a27   3 weeks ago          367MB
<none>                               <none>                    283bae40677e   3 weeks ago          415MB
<none>                               <none>                    b0e1332d22c3   3 weeks ago          398MB
<none>                               <none>                    d9e97b476ee3   3 weeks ago          351MB
<none>                               <none>                    73c1e98e0810   3 weeks ago          371MB
<none>                               <none>                    f9a2b35d6d3d   3 weeks ago          445MB
<none>                               <none>                    3ec5aa199d91   3 weeks ago          432MB
<none>                               <none>                    765832488e82   3 weeks ago          378MB
<none>                               <none>                    a5a66a16313a   3 weeks ago          512MB
<none>                               <none>                    a83e9611becb   3 weeks ago          404MB
<none>                               <none>                    d037484b5c9d   3 weeks ago          367MB
